step,epoch,loss,learning_rate,grad_norm,source_job,source_file
1370,0.25,65.1206,7.583941605839417e-06,21.970125198364258,308081,slurm_train_fusellm_resume-308081.out
1380,0.25,64.1292,7.565693430656935e-06,21.77229118347168,308081,slurm_train_fusellm_resume-308081.out
1390,0.25,64.9522,7.547445255474454e-06,22.225509643554688,308081,slurm_train_fusellm_resume-308081.out
1400,0.25,65.6881,7.529197080291971e-06,23.915918350219727,308081,slurm_train_fusellm_resume-308081.out
1410,0.26,64.1747,7.510948905109489e-06,22.725866317749023,308081,slurm_train_fusellm_resume-308081.out
1420,0.26,64.6579,7.492700729927008e-06,23.93326759338379,308081,slurm_train_fusellm_resume-308081.out
1430,0.26,64.8187,7.474452554744526e-06,22.050029754638672,308081,slurm_train_fusellm_resume-308081.out
1440,0.26,64.6211,7.456204379562044e-06,22.90521812438965,308081,slurm_train_fusellm_resume-308081.out
1450,0.26,65.0681,7.437956204379563e-06,22.841325759887695,308081,slurm_train_fusellm_resume-308081.out
1460,0.26,64.5549,7.419708029197081e-06,21.89946174621582,308081,slurm_train_fusellm_resume-308081.out
1470,0.27,65.362,7.401459854014599e-06,106.93109893798828,308081,slurm_train_fusellm_resume-308081.out
1480,0.27,65.1062,7.383211678832118e-06,22.1916446685791,308081,slurm_train_fusellm_resume-308081.out
1490,0.27,65.3057,7.364963503649636e-06,22.808671951293945,308081,slurm_train_fusellm_resume-308081.out
1500,0.27,65.1145,7.346715328467155e-06,21.245635986328125,308081,slurm_train_fusellm_resume-308081.out
1510,0.27,64.1013,7.328467153284672e-06,22.633527755737305,308081,slurm_train_fusellm_resume-308081.out
1520,0.28,64.6424,7.31021897810219e-06,24.826196670532227,308081,slurm_train_fusellm_resume-308081.out
1530,0.28,64.4953,7.291970802919709e-06,24.42925453186035,308081,slurm_train_fusellm_resume-308081.out
1540,0.28,64.768,7.2737226277372265e-06,21.346572875976562,308081,slurm_train_fusellm_resume-308081.out
1550,0.28,62.6963,7.255474452554745e-06,22.822101593017578,308081,slurm_train_fusellm_resume-308081.out
1560,0.28,63.8162,7.237226277372264e-06,21.403566360473633,308081,slurm_train_fusellm_resume-308081.out
1570,0.28,63.8594,7.218978102189782e-06,22.08867645263672,308081,slurm_train_fusellm_resume-308081.out
1580,0.29,64.0643,7.200729927007299e-06,22.256389617919922,308081,slurm_train_fusellm_resume-308081.out
1590,0.29,63.4382,7.182481751824818e-06,217.05453491210938,308081,slurm_train_fusellm_resume-308081.out
1600,0.29,64.95,7.164233576642336e-06,23.993995666503906,308081,slurm_train_fusellm_resume-308081.out
1610,0.29,64.5887,7.145985401459855e-06,21.540742874145508,308081,slurm_train_fusellm_resume-308081.out
1620,0.29,64.1719,7.1277372262773725e-06,22.51211166381836,308081,slurm_train_fusellm_resume-308081.out
1630,0.3,63.8314,7.109489051094891e-06,21.235532760620117,308081,slurm_train_fusellm_resume-308081.out
1640,0.3,63.7546,7.09124087591241e-06,23.903860092163086,308081,slurm_train_fusellm_resume-308081.out
1650,0.3,64.2326,7.072992700729927e-06,21.869312286376953,308081,slurm_train_fusellm_resume-308081.out
1660,0.3,64.5994,7.054744525547446e-06,21.158205032348633,308081,slurm_train_fusellm_resume-308081.out
1670,0.3,64.625,7.0364963503649645e-06,22.787599563598633,308081,slurm_train_fusellm_resume-308081.out
1680,0.3,63.3649,7.018248175182483e-06,31.46453285217285,308081,slurm_train_fusellm_resume-308081.out
1690,0.31,63.9156,7e-06,24.50729751586914,308081,slurm_train_fusellm_resume-308081.out
1700,0.31,64.5575,6.9817518248175185e-06,22.321073532104492,308081,slurm_train_fusellm_resume-308081.out
1710,0.31,64.6548,6.963503649635037e-06,22.753219604492188,308081,slurm_train_fusellm_resume-308081.out
1720,0.31,64.5164,6.945255474452556e-06,23.061044692993164,308081,slurm_train_fusellm_resume-308081.out
1730,0.31,65.4345,6.927007299270073e-06,24.7945499420166,308081,slurm_train_fusellm_resume-308081.out
1740,0.31,64.7635,6.908759124087592e-06,21.232608795166016,308081,slurm_train_fusellm_resume-308081.out
1750,0.32,64.227,6.8905109489051104e-06,21.045284271240234,308081,slurm_train_fusellm_resume-308081.out
1760,0.32,64.5194,6.872262773722629e-06,21.344135284423828,308081,slurm_train_fusellm_resume-308081.out
1770,0.32,64.4077,6.854014598540146e-06,21.297653198242188,308081,slurm_train_fusellm_resume-308081.out
1780,0.32,63.9369,6.8357664233576644e-06,21.91381072998047,308081,slurm_train_fusellm_resume-308081.out
1790,0.32,64.4105,6.817518248175183e-06,21.612581253051758,308081,slurm_train_fusellm_resume-308081.out
1800,0.33,64.2014,6.799270072992701e-06,22.193058013916016,308081,slurm_train_fusellm_resume-308081.out
1810,0.33,64.1541,6.781021897810219e-06,22.383209228515625,308081,slurm_train_fusellm_resume-308081.out
1820,0.33,65.3554,6.762773722627738e-06,24.517471313476562,308081,slurm_train_fusellm_resume-308081.out
